Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Etmopteridae	Etmopterus	Etmopterus sculptus	Extant	59	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2011)	Ebert et al. (2011)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus sentosus	Extant	27	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes et al. (2014)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus sheikoi	Extant	43	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes et al. (2014)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus spinax	Extant	55	Yes	Light	D	Claes et al. (2015)	Jones et al. (2003)	Claes & Mallefet (2009)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus splendidus	Extant	30	Yes	Light	D	Yano (1988)	Claes et al. (2011)	Claes et al. (2011)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus unicolor	Extant	79	Yes	Photophore	D	Ebert et al. (2021a)	Yano & Tanaka (1989)	Claes et al. (2014)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus viator	Extant	58	Yes	Photophore	D	Straube et al. (2011)	Straube et al. (2011)	Straube et al. (2011)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus villosus	Extant	65	NA	NA	D	Dolganov (2019a)	Dolganov (2019a)	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus virens	Extant	23	Yes	Photophore	D	Bigelow et al. (1953)	Bigelow et al. (1953)	Bigelow et al. (1953)
Squaliformes	Dalatiidae	Euprotomicroides	Euprotomicroides zantedeschia	Extant	53	Yes	Light	D	Stehmann et al. (2016)	Stehmann et al. (2016)	Stehmann et al. (2016)
Squaliformes	Dalatiidae	Euprotomicrus	Euprotomicrus bispinatus	Extant	27	Yes	Light	D	Ebert et al. (2021a)	Hubbs et al. (1967)	Hubbs et al. (1967)
Squaliformes	Dalatiidae	Hessinodon	Hessinodon wardi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Heteroscymnoides	Heteroscymnoides marleyi	Extant	37	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes et al. (2014)
Squaliformes	Etmopteridae	Incognitorapax	Incognitorapax fernsebneri	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Incognitorapax	Incognitorapax sp.-nov.	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Isistius	Isistius brasiliensis	Extant	56	Yes	Light	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Delroisse et al. (2021)
Squaliformes	Dalatiidae	Isistius	Isistius exiguus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Isistius	Isistius plutodus	Extant	42	Yes	Light	D	Jahn & Haedrich (1988)	Ebert et al. (2021a)	de Figueiredo Petean & de Carvalho (2018)
Squaliformes	Dalatiidae	Isistius	Isistius triangulus	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Isistius	Isistius trituratus	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Megasqualus	Megasqualus orpiensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Microetmopterus	Microetmopterus wardi	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Mollisquama	Mollisquama mississippiensis	Extant	14	Yes	Photophore	D	Grace et al. (2019)	Grace et al. (2019)	Grace et al. (2019)
Squaliformes	Dalatiidae	Mollisquama	Mollisquama parini	Extant	40	Yes	Photophore	D	Dolganov (1984)	Dolganov (1984)	Grace et al. (2015)
Squaliformes	Dalatiidae	Oligodalatias	Oligodalatias jordani	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus bruniensis	Extant	76	No	NA	D	Finucci et al. (2016)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus caribbaeus	Extant	150	No	NA	D	Ebert et al. (2021a)	Messing et al. (2013)	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus centrina	Extant	150	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus crochardi	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus japonicus	Extant	65	No	NA	D	Yano et al. (2002)	Yano & Murofushi (1985)	NA
Squaliformes	Somniosidae	Oxynotus	Oxynotus paradoxus	Extant	118	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Etmopteridae	Paraetmopterus	Paraetmopterus horvathi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Paraetmopterus	Paraetmopterus nolfi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Proetmopterus	Proetmopterus hemmooriensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Proetmopterus	Proetmopterus lukasi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Protocentrophorus	Protocentrophorus balticus	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Protocentrophorus	Protocentrophorus steviae	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Protosqualus	Protosqualus albertsi	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Protosqualus	Protosqualus barringtonensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Protosqualus	Protosqualus glickmani	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Protosqualus	Protosqualus pachyrhiza	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Protosqualus	Protosqualus sigei	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Protoxynotus	Protoxynotus mayrmelnhofi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
